chassi,pps,percentil_tiktok,percentil_nps,percentil_visits,percentil_snapon,percentil_mystery,percentil_chatbot,percentil_download
LC0C76C40S0016962,"191.900,00",,,,,,,
LC0C76C40S0025094,"191.900,00",,,,,,,
LC0C76C40S0016802,"191.900,00",,,,,,,
LC0C76C40S0025015,"191.900,00",,,,,,,
LC0C76C41S0014394,"191.900,00",,,,,,,
LC0C76C43S0019256,"191.900,00",,,,,,,
LC0C76C43S0019354,"191.900,00",,,,,,,
LC0C76C40S0016931,"191.900,00",,,,,,,
LC0C76C40S0016864,"191.900,00",,,,,,,
LC0C76C41S0013729,"191.900,00",,,,,,,
LC0C76C40S0025029,"191.900,00",,,,,,,
LC0C76C40S0025368,"191.900,00",,,,,,,
LC0C76C40S0025337,"191.900,00",,,,,,,
LC0CE4CB4S0017766,"184.800,00",,,,,,,
LC0C76C46S0019414,"191.900,00",,,,,,,
LC0C76C46S0018473,"191.900,00",,,,,,,
LC0C76C46S0018358,"191.900,00",,,,,,,
LC0C76C46S0019395,"191.900,00",,,,,,,
LC0C76C46S0019400,"191.900,00",,,,,,,
LC0C76C46S0019252,"191.900,00",,,,,,,
LC0C76C43S0023288,"191.900,00",,,,,,,
LC0C76C42S0024917,"191.900,00",,,,,,,
LC0C76C42S0024884,"191.900,00",,,,,,,
LC0C76C42S0024836,"191.900,00",,,,,,,
LC0C76C42S0024982,"191.900,00",,,,,,,
LC0C76C43S0014414,"191.900,00",,,,,,,
LC0C76C42S0024738,"191.900,00",,,,,,,
LC0C76C42S0024934,"191.900,00",,,,,,,
LC0C76C42S0024996,"191.900,00",,,,,,,
LC0C76C43S0014400,"191.900,00",,,,,,,
LC0C76C42S0025050,"191.900,00",,,,,,,
LC0C76C43S0014431,"191.900,00",,,,,,,
LC0C76C42S0025002,"191.900,00",,,,,,,
LC0C76C42S0024755,"191.900,00",,,,,,,
LGXCF6CD5S2003550,"299.800,00",,,,,,,
LGXCF6CD4S2004771,"299.800,00",,,,,,,
LGXCF6CD4S2004785,"299.800,00",,,,,,,
LGXCF6CD5S2003497,"299.800,00",,,,,,,
LC0C74C48S5002136,"204.800,00",,,,,,,
LC0C74C46S5005715,"204.800,00",,,,,,,
LC0C74C40S5009145,"204.800,00",,,,,,,
LC0C74C45S5006693,"204.800,00",,,,,,,
LC0C74C45S5004037,"204.800,00",,,,,,,
LC0C74C45S5004054,"204.800,00",,,,,,,
LC0C74C45S5005625,"204.800,00",,,,,,,
LC0C74C45S5004295,"204.800,00",,,,,,,
LC0C74C45S5004992,"204.800,00",,,,,,,
