idnfsexterno,dta_emplacamento
A25227461V210,25/03/2025
A251167961V210,27/03/2025
A25318021V210,26/03/2025
A25318031V210,31/03/2025
A25612671V210,03/04/2025
A2555831V210,27/03/2025
A251168121V210,27/03/2025
A25612701V210,08/04/2025
A25722991V210,26/03/2025
A2549711V210,25/03/2025
A25723011V210,25/03/2025
A25723021V210,27/03/2025
A251168181V210,27/03/2025
A25723071V210,25/03/2025
A25723081V210,27/03/2025
A25318071V210,10/04/2025
A251168211V210,25/03/2025
A259231V210,25/03/2025
A25723101V210,31/03/2025
A25318081V210,27/03/2025
A25318091V210,25/03/2025
A25723131V210,25/03/2025
A25318111V210,31/03/2025
A25723141V210,04/04/2025
A25227541V210,27/03/2025
A25723161V210,27/03/2025
A25227561V210,28/03/2025
A25612771V210,27/03/2025
A2555881V210,01/04/2025
A251168461V210,25/03/2025
A251168481V210,31/03/2025
A25227571V210,27/03/2025
A2549731V210,26/03/2025
A25227581V210,28/03/2025
A251168621V210,27/03/2025
A25318161V210,27/03/2025
A25318171V210,28/03/2025
A25227591V210,28/03/2025
A25227601V210,28/03/2025
A25723171V210,27/03/2025
A259241V210,28/03/2025
A25318181V210,28/03/2025
A25227631V210,04/04/2025
A25227651V210,31/03/2025
A25227661V210,27/03/2025
A251168791V210,28/03/2025
A251168801V210,27/03/2025
A25612831V210,27/03/2025
A25318191V210,26/03/2025
A25318201V210,27/03/2025
A2549761V210,28/03/2025
A25723231V210,28/03/2025
A25227681V210,28/03/2025
A25723261V210,26/03/2025
A25318211V210,28/03/2025
A25227701V210,27/03/2025
A25612841V210,02/04/2025
A251168951V210,27/03/2025
A25318231V210,31/03/2025
A251168961V210,28/03/2025
A251169001V210,28/03/2025
A2555951V210,31/03/2025
A251169031V210,28/03/2025
A259251V210,28/03/2025
A25318261V210,27/03/2025
A25612891V210,01/04/2025
A2555961V210,27/03/2025
A251169141V210,28/03/2025
A251169171V210,10/04/2025
A251169221V210,27/03/2025
A25318301V210,31/03/2025
A251169391V210,31/03/2025
A25318311V210,04/04/2025
A25318321V210,31/03/2025
A2521499252245VD,
A2549781V210,31/03/2025
A25318351V210,31/03/2025
A25318361V210,28/03/2025
A25318371V210,31/03/2025
A25318381V210,31/03/2025
A25227821V210,02/04/2025
A251169601V210,31/03/2025
A25723481V210,28/03/2025
A25318391V210,31/03/2025
A259261V210,28/03/2025
A25318401V210,31/03/2025
A251169761V210,02/04/2025
A25227941V210,31/03/2025
A25723521V210,31/03/2025
A25613021V210,31/03/2025
A25318411V210,31/03/2025
A25227951V210,09/04/2025
A25227961V210,31/03/2025
A25318421V210,28/03/2025
A25723551V210,28/03/2025
A251169971V210,31/03/2025
A251170021V210,31/03/2025
A2555991V210,31/03/2025
A25613051V210,28/03/2025
A25723591V210,04/04/2025
A25613061V210,28/03/2025
A251170071V210,05/05/2025
A2556001V210,31/03/2025
A25318581V210,31/03/2025
A251170121V210,31/03/2025
A25723601V210,29/03/2025
A25613071V210,28/03/2025
A2549831V210,31/03/2025
A25723611V210,31/03/2025
A2556021V210,28/03/2025
A25318621V210,03/04/2025
A251170321V210,31/03/2025
A251170361V210,31/03/2025
A25228101V210,03/04/2025
A251170441V210,31/03/2025
A25723691V210,31/03/2025
A25318661V210,31/03/2025
A25228121V210,31/03/2025
A259291V210,01/04/2025
A2571056451802VD,
A2521984052269VD,
A251109545512791VD,
A251170881V210,31/03/2025
A2556041V210,31/03/2025
A25613171V210,02/04/2025
A25228161V210,02/04/2025
A25613181V210,31/03/2025
A251170981V210,01/04/2025
A25228181V210,03/04/2025
A25228191V210,07/04/2025
A251171031V210,01/04/2025
A25228201V210,03/04/2025
A251171071V210,31/03/2025
A251171081V210,31/03/2025
A251171091V210,31/03/2025
A251171161V210,24/04/2025
A25613201V210,02/04/2025
A25613211V070,02/04/2025
A251171171V210,02/04/2025
A25613221V070,31/03/2025
A25318721V210,30/04/2025
A25613231V210,31/03/2025
A251171201V210,07/04/2025
A25613241V210,31/03/2025
A251171221V210,31/03/2025
A25318751V070,04/04/2025
A25318761V210,04/04/2025
A25318771V210,31/03/2025
A25228281V210,31/03/2025
A251171261V210,15/04/2025
A25228321V210,03/06/2025
A2549911V210,31/03/2025
A25613251V210,31/03/2025
A2549921V210,02/04/2025
A25318801V210,31/03/2025
A25723831V210,01/04/2025
A25723841V210,01/04/2025
A251171341V070,05/05/2025
A25723861V210,01/04/2025
A259331V210,01/04/2025
A259341V210,04/04/2025
A25228351V210,31/03/2025
A25723961V210,02/04/2025
A25613271V210,02/04/2025
A25613281V210,03/04/2025
A2549981V210,04/04/2025
A2549991V210,01/04/2025
A25613291V210,01/04/2025
A25318851V210,04/04/2025
A251171491V210,03/04/2025
A25228361V210,04/04/2025
A25723971V210,01/04/2025
A251171511V210,22/04/2025
A251171521V210,07/04/2025
A25724011V210,02/04/2025
A25724021V210,01/04/2025
A25410011V210,02/04/2025
A25410021V210,02/04/2025
A25228371V210,04/04/2025
A25228381V210,03/04/2025
A25613321V210,03/04/2025
A251171601V210,01/04/2025
A25724051V210,02/04/2025
A25410031V210,03/04/2025
A251171631V210,07/04/2025
A25228391V210,03/04/2025
A25318861V210,07/04/2025
A25613341V210,02/04/2025
A25318871V210,01/04/2025
A25318881V210,04/04/2025
A25724061V210,02/04/2025
A25318891V210,28/03/2025
A25228431V210,07/04/2025
A25724081V210,03/04/2025
A25410041V210,02/04/2025
A25318911V210,16/04/2025
A25228441V210,07/04/2025
A25318921V210,07/04/2025
A25318941V210,03/04/2025
A25724091V210,02/04/2025
A25318951V210,03/04/2025
A25724101V210,03/04/2025
A25613351V210,08/04/2025
A25410051V210,02/04/2025
A2556121V210,02/04/2025
A25410061V210,03/04/2025
A25410071V210,03/04/2025
A25724111V210,01/04/2025
A259351V210,07/04/2025
A25724131V210,03/04/2025
A259361V210,01/04/2025
A25410081V210,03/04/2025
A25410091V210,02/04/2025
A25613371V210,02/04/2025
A25613381V210,03/04/2025
A251171821V210,04/04/2025
A251171831V210,15/04/2025
A251171841V210,30/06/2025
A25318981V210,03/04/2025
A251171851V210,07/04/2025
A251171861V210,01/04/2025
A251171871V210,04/04/2025
A25318991V210,07/04/2025
A251171881V210,04/04/2025
A25319001V210,02/04/2025
A25319011V210,08/04/2025
A251171981V210,16/04/2025
A251172091V210,03/04/2025
A25228761V210,04/04/2025
A25613191V210,09/04/2025
A25724141V210,03/04/2025
A25110432512406VD,
A25228511V210,07/04/2025
A25613461V210,02/04/2025
A25410131V210,10/04/2025
A25613501V070,08/04/2025
A251172171V210,11/04/2025
A2561183365899VD,
A25319081V070,10/04/2025
A25319141V210,15/04/2025
A25228581V210,04/04/2025
A25228611V210,08/04/2025
A25228621V070,07/04/2025
A2561186485955VD,
A25613541V210,08/04/2025
A25410181V210,04/04/2025
A25228741V210,07/04/2025
A25319211V210,28/03/2025
A25319231V210,07/04/2025
A25228791V210,14/04/2025
A2521040351922VD,
A259461V210,11/04/2025
A25724531V210,29/04/2025
A2556261V210,08/04/2025
A251173561V210,09/04/2025
A258281V210,10/04/2025
A25613691V210,22/04/2025
A251173571V210,14/04/2025
A251173711V210,10/04/2025
A258291V210,11/04/2025
A251173771V210,08/04/2025
A25410191V210,07/04/2025
A258301V210,10/04/2025
A25613721V210,08/04/2025
A25724641V210,09/04/2025
A251174201V210,08/04/2025
A251174221V210,16/04/2025
A25228961V070,09/04/2025
A25724741V210,10/04/2025
A25724761V210,08/04/2025
A25724831V210,17/04/2025
A25410221V210,11/04/2025
A25229121V210,09/04/2025
A2556401V210,14/04/2025
A25613951V210,09/04/2025
A251174891V210,10/04/2025
A25319601V210,10/04/2025
A251175001V210,10/04/2025
