chassi,pps,val_pdi,percentil_atacado
LC0C74C46T5021754,"199.990,00",700,"0,02"
LC0C74C48T5019679,"199.990,00",700,"0,02"
LC0C74C48T5021741,"199.990,00",700,"0,02"
LC0C74C45T5021535,"199.990,00",700,"0,02"
LC0C74C45T5022152,"199.990,00",700,"0,02"
LC0C74C45T5023348,"199.990,00",700,"0,02"
LC0C74C46T5020846,"199.990,00",700,"0,02"
LC0C74C4XT5005637,"199.990,00",700,"0,02"
LC0C74C45T5002631,"199.990,00",700,"0,02"
LC0C74C43T5002062,"199.990,00",700,"0,02"
LC0C74C43T5004085,"199.990,00",700,"0,02"
LC0C74C43T5002742,"199.990,00",700,"0,02"
LC0C74C48T5021982,"199.990,00",700,"0,02"
LC0C74C43T5000814,"199.990,00",700,"0,02"
LC0C74C48T5021528,"199.990,00",700,"0,02"
LC0C74C43T5023137,"199.990,00",700,"0,02"
LC0C74C43T5022148,"199.990,00",700,"0,02"
LC0C74C43T5021517,"199.990,00",700,"0,02"
LC0C74C43T5004183,"199.990,00",700,"0,02"
LC0C74C43T5002935,"199.990,00",700,"0,02"
LC0C74C46T5023102,"199.990,00",700,"0,02"
LC0C74C47T5022136,"199.990,00",700,"0,02"
LC0C74C45T5020823,"199.990,00",700,"0,02"
LC0C74C45T5021857,"199.990,00",700,"0,02"
LC0C74C44T5023096,"199.990,00",700,"0,02"
LC0C74C44T5022014,"199.990,00",700,"0,02"
LC0C74C44T5021543,"199.990,00",700,"0,02"
LC0C74C44T5021445,"199.990,00",700,"0,02"
LC0C74C43T5023591,"199.990,00",700,"0,02"
LC0C74C48T5021416,"199.990,00",700,"0,02"
LC0C74C45T5022149,"199.990,00",700,"0,02"
LC0C74C45T5021700,"199.990,00",700,"0,02"
LC0C74C47T5023335,"199.990,00",700,"0,02"
LC0C74C48T5022016,"199.990,00",700,"0,02"
LC0C74C48T5021979,"199.990,00",700,"0,02"
LC0C74C48T5019956,"199.990,00",700,"0,02"
LC0C74C45T5023446,"199.990,00",700,"0,02"
LC0C74C43T5021758,"199.990,00",700,"0,02"
LC0C74C43T5022585,"199.990,00",700,"0,02"
LC0C74C42T5021895,"199.990,00",700,"0,02"
LC0C74C47T5022735,"199.990,00",700,"0,02"
LC0C74C48T5019648,"199.990,00",700,"0,02"
LC0C74C43T5020836,"199.990,00",700,"0,02"
LC0C74C48T5021884,"199.990,00",700,"0,02"
LC0C74C46T5023066,"199.990,00",700,"0,02"
LC0C74C47T5021438,"199.990,00",700,"0,02"
LC0C74C47T5022914,"199.990,00",700,"0,02"
LC0C74C45T5021731,"199.990,00",700,"0,02"
LC0C74C48T5021657,"199.990,00",700,"0,02"
LC0C74C45T5023334,"199.990,00",700,"0,02"
LC0C74C46T5022581,"199.990,00",700,"0,02"
LC0C74C45T5021339,"199.990,00",700,"0,02"
LC0C74C46T5021737,"199.990,00",700,"0,02"
LC0C74C45T5021938,"199.990,00",700,"0,02"
LC0C74C42T5022142,"199.990,00",700,"0,02"
LC0C74C47T5023531,"199.990,00",700,"0,02"
LC0C74C47T5019866,"199.990,00",700,"0,02"
LC0C74C46T5021995,"199.990,00",700,"0,02"
LC0C74C46T5021141,"199.990,00",700,"0,02"
LC0C74C45T5022667,"199.990,00",700,"0,02"
LC0C74C47T5023030,"199.990,00",700,"0,02"
LC0C74C42T5021721,"199.990,00",700,"0,02"
LC0C74C48T5021643,"199.990,00",700,"0,02"
LC0C74C47T5023447,"199.990,00",700,"0,02"
LC0C74C47T5023271,"199.990,00",700,"0,02"
LC0C74C46T5021723,"199.990,00",700,"0,02"
LC0C74C46T5023276,"199.990,00",700,"0,02"
LC0C74C47T5021357,"199.990,00",700,"0,02"
LC0C74C46T5022564,"199.990,00",700,"0,02"
LC0C74C43T5021162,"199.990,00",700,"0,02"
LC0C74C4XT5026066,"199.990,00",700,"0,02"
LC0C74C4XT5005606,"199.990,00",700,"0,02"
LC0C74C42T5022934,"199.990,00",700,"0,02"
LC0C74C4XT5026116,"199.990,00",700,"0,02"
LC0C74C4XT5001085,"199.990,00",700,"0,02"
LC0C74C43T5004099,"199.990,00",700,"0,02"
LC0C74C46T5001343,"199.990,00",700,"0,02"
LC0C74C48T5021514,"199.990,00",700,"0,02"
LC0C74C46T5020801,"199.990,00",700,"0,02"
LC0C74C47T5021052,"199.990,00",700,"0,02"
LC0C74C45T5022345,"199.990,00",700,"0,02"
LC0C74C48T5021755,"199.990,00",700,"0,02"
LC0C74C46T5021124,"199.990,00",700,"0,02"
LC0C74C45T5023544,"199.990,00",700,"0,02"
LC0C74C45T5022586,"199.990,00",700,"0,02"
LC0C74C46T5021110,"199.990,00",700,"0,02"
LC0C74C42T5021153,"199.990,00",700,"0,02"
LGXC74C46T0020517,"249.990,00",700,"0,02"
LGXC74C46T0018914,"249.990,00",700,"0,02"
LGXC74C43T0020538,"249.990,00",700,"0,02"
LGXC74C41T0018643,"249.990,00",700,"0,02"
LGXC74C42T0020496,"249.990,00",700,"0,02"
LGXC74C40T0020495,"249.990,00",700,"0,02"
LGXC74C42T0018943,"249.990,00",700,"0,02"
LGXC74C42T0018649,"249.990,00",700,"0,02"
LGXC74C41T0020506,"249.990,00",700,"0,02"
LGXC74C46T0017701,"249.990,00",700,"0,02"
LGXC74C49T0017689,"249.990,00",700,"0,02"
LGXC74C49T0016557,"249.990,00",700,"0,02"
LGXC74C49T0020527,"249.990,00",700,"0,02"
LGXC74C49T0018664,"249.990,00",700,"0,02"
LGXC74C43T0018921,"249.990,00",700,"0,02"
LGXC74C49T0018681,"249.990,00",700,"0,02"
LGXC74C43T0018885,"249.990,00",700,"0,02"
LGXC74C49T0018874,"249.990,00",700,"0,02"
